Kecamatan,NPSN,Nama_sekolah,Jenjang,Status,Alamat lengkap,,Telepon,SPP,,Akreditasi,Peserta Didik,Rombel,Guru,Pegawai,R.Kelas,R.Lab,R.Perpus,Pendidik,Tenaga Kependidikan,Gaji Guru,Kurikulum,NPYP,Yayasan,Jumlah Sekolah Naungan Yayasan,Grade Yayasan Sekolah,Pimpinan Yayasan,PIC/Operator,Nomor Telepon_yayasan,Tanggal SK Pendirian,Umur,Tanggal SK Operasional,Sumber Listrik,meter listrik,luas tanah,harga_listrik_per_bulan,Harga Tanah Pasaran per kecamatan,By power (jumlah siswa * spp),alamat lengkap,estimasi harga tanah sekolah,Website,is_website,is_agama,is_surabaya,Telepon_sekolah,Nama_Kepsek,Nama_Operator_Sekolah,Email_sekolah,average peserta didik yayasan,Lintang,Bujur
KEC. BULAK,20560676,TK MUTIARA BANGSA CERIA,TK,SWASTA,"Jl. Bulak Kenjeran 1, Kenjeran, Kec. Bulak, Kota Surabaya, Jawa Timur",315044133,031315044133,,,A,45,3,3,1,2,0,0,3,4,,Kurikulum Merdeka,AH1332,Mutiara Bangsa Ceria,1,1,Wulyadi,ROSYA WULAN HARIATI,-,2014,11,2023,PLN,900,0,367200000,8470000,,"Jl. Wonokromo Vii/23 Surabaya, Wonokromo, Kec. Wonokromo, Kota Surabaya, Jawa Timur",0,-,0,0,1,81356598442,SITI SOELICHAH,Wulyadi,tkmutiarabangsaceria1@gmail.com,45,,
KEC. GUBENG,20561253,TK FAJAR JAYA,TK,SWASTA,"Jl. Gubeng Jaya Vii/9 , Gubeng, Kec. Gubeng, Kota Surabaya, Jawa Timur",315044134,031315044134,,,B,61,3,3,1,5,0,0,3,4,,Kurikulum Merdeka,,,0,0,-,-,-,2009,16,2019,PLN,1200,160,489600000,15630000,,"Jl. Medokan Semampir Indah Vii/3, Medokan Semampir, Kec. Sukolilo, Kota Surabaya, Jawa Timur",2500800000,-,0,0,1,85731307028,Mai Nurhayati,Mainurhayati,ririnummihaqin77@gmail.com,61,,
KEC. WONOKROMO,20562097,TK AL FURQAAN,TK,SWASTA,"Jl. Wonokromo Vii/23 Surabaya, Wonokromo, Kec. Wonokromo, Kota Surabaya, Jawa Timur",315044135,031315044135,,,B,76,4,2,1,2,0,1,2,3,,Kurikulum Merdeka,,,0,0,-,-,-,2010,15,2023,PLN,4200,40,1713600000,16890000,,"Jl. Amir Mahmud No. 81 Gununganyar, Gunung Anyar, Kec. Gununganyar, Kota Surabaya, Jawa Timur",675600000,-,0,1,1,318285330,SUPIYAH,Desy Indrawati,tkalfurqaan407@gmail.com,76,,
KEC. SUKOLILO,69960147,TPA DIAN CERIA,TPA,SWASTA,"Jl. Medokan Semampir Indah Vii/3, Medokan Semampir, Kec. Sukolilo, Kota Surabaya, Jawa Timur",315044136,031315044136,,,B,20,2,1,1,1,0,0,1,2,,Kurikulum Merdeka,AL8811,DIAN NURANI SURABAYA,2,2,Dianrika Premadyasari. S.Psi,Lilies Khumairoh,-,2016,9,2016,PLN,900,200,#N/A,12000000,,"Jl. Embong Sawo No. 20 Surabaya, Embong Kaliasin, Kec. Genteng, Kota Surabaya, Jawa Timur",2400000000,http://rumahbelajardianceria.blogspot.com,0,0,1,81243411190,LILIES KHUMAIROH,TPA DIAN CERIA,tpadianceria@gmail.com,20,,
KEC. GUNUNGANYAR,20560716,TK PERMATA IBU,TK,SWASTA,"Jl. Amir Mahmud No. 81 Gununganyar, Gunung Anyar, Kec. Gununganyar, Kota Surabaya, Jawa Timur",315044137,031315044137,,,B,54,5,5,1,6,0,0,5,6,,Kurikulum Merdeka,AI7147,Putri Ibunda,1,1,Imam Bashori,ADITYA PRATAMA PUTRA,318715073,2011,14,2022,PLN,1300,88,530400000,4900000,,"Tembok Dukuh 22-24, Tembok Dukuh, Kec. Bubutan, Kota Surabaya, Jawa Timur",431200000,-,0,0,1,81259504343,AGNES TRI RAHMANASANTI,"Agnes Tri Rahmanasanti,S.Pd",tkpermatab6@gmail.com,54,,
KEC. GENTENG,20560428,TK KEMALA BHAYANGKARI 5,TK,SWASTA,"Jl. Embong Sawo No. 20 Surabaya, Embong Kaliasin, Kec. Genteng, Kota Surabaya, Jawa Timur",315044138,031315044138,,,B,15,2,1,1,2,0,1,1,3,,Kurikulum Merdeka,AA0760,Yayasan Kemala Bhayangkari,22,5,DIANA AHMAD DOFIRI,Adzani Alwianto,021-7393686,2011,14,2021,PLN,1300,0,530400000,27590000,,"Jl. Dharmahusada Ii/4-6 Surabaya, Pacar Kembang, Kec. Tambaksari, Kota Surabaya, Jawa Timur",0,-,0,0,1,-,NOVA MAULANI,Nova Maulani,bhayangkariembongsawo@gmail.com,137,,
KEC. BUBUTAN,20539170,SDS K. ABDULLAH UBAID I SURABAYA,SD,SWASTA,"Tembok Dukuh 22-24, Tembok Dukuh, Kec. Bubutan, Kota Surabaya, Jawa Timur",315045424,031315045424,,,B,88,6,9,2,6,3,1,9,9,,Kurikulum Merdeka,AB4995,LP. MA'ARIF NU KOTA SURABAYA,31,4,"Drs. MOH. KHOLIL, M.Pd.I",MUHAMMAD SHOLIHUDDIN,315317470,2009,16,2025,PLN,1500,412,612000000,21280000,,"Jl. Gayungan Ptt No.49, Gayungan, Kec. Gayungan, Kota Surabaya, Jawa Timur",8767360000,-,0,0,1,5463216,Siti Udlkhiyah,Bastian Affandi,u.ubaidi@yahoo.com,156,-7.255500,112.72550
KEC. TAMBAKSARI,20561240,TK DHARMAHUSADA,TK,SWASTA,"Jl. Dharmahusada Ii/4-6 Surabaya, Pacar Kembang, Kec. Tambaksari, Kota Surabaya, Jawa Timur",315044140,031315044140,,,B,60,3,2,1,2,0,0,2,3,,Kurikulum Merdeka,,,0,0,-,-,-,2012,13,2018,PLN,2300,0,938400000,8570000,,"Jl. Nanggala 2 Surabaya, Karang Pilang, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",0,-,0,0,1,315920288,LISTIYORINI ETTA MINDRADINI,LISTIYO RINI ETTA MINDRADINI,tkdharmahusada@gmail.com,60,,
KEC. GAYUNGAN,20533102,SD NURUL HUDA SURABAYA,SD,SWASTA,"Jl. Gayungan Ptt No.49, Gayungan, Kec. Gayungan, Kota Surabaya, Jawa Timur",315044925,031315044925,,,B,89,6,8,2,5,0,1,8,4,,Kurikulum Merdeka,AB4995,LP. MA'ARIF NU KOTA SURABAYA,31,4,"Drs. MOH. KHOLIL, M.Pd.I",MUHAMMAD SHOLIHUDDIN,315317470,2009,16,2021,PLN,2200,200,897600000,10420000,,"Jl. Bulak Setro Utara No.17, Bulak, Kec. Bulak, Kota Surabaya, Jawa Timur",2084000000,-,0,1,1,318288031,"Harsono, S.ag",Uci Anggraeni,sdnurulhudagayungan@gmail.com,156,-7.268000,112.72310
KEC. KARANG PILANG,20561814,TK HANG TUAH 8,TK,SWASTA,"Jl. Nanggala 2 Surabaya, Karang Pilang, Kec. Karang Pilang, Kota Surabaya, Jawa Timur",315044142,031315044142,,,A,24,2,1,1,2,0,1,1,2,,Kurikulum Merdeka,AB5048,HANG TUAH CABANG SURABAYA,25,6,"Drs. Ambar Kristiyanto, M.Si.",Dio Ichwandoko Moritian,313295486,2010,15,2018,PLN,1200,3320,489600000,7000000,,"Jl. Gunung Anyar Tengah V Dalam C/6, Gunung Anyar, Kec. Gununganyar, Kota Surabaya, Jawa Timur",23240000000,-,0,0,1,317660172,Umi Mukhoyaroh,YUNI SUSILOWATI,tkhangtuah8@yahoo.com,218,,
KEC. BULAK,69903702,TK BHAKTI RAHAYU II,TK,SWASTA,"Jl. Bulak Setro Utara No.17, Bulak, Kec. Bulak, Kota Surabaya, Jawa Timur",315044143,031315044143,,,B,53,2,2,0,1,0,0,2,3,,Kurikulum Merdeka,,,0,0,-,-,-,2011,14,2022,PLN,900,70,367200000,8470000,,"Jl. Kyai Satari No. 27 Surabaya., Rungkut Menanggal, Kec. Gununganyar, Kota Surabaya, Jawa Timur",592900000,-,0,0,1,895380116708,ANISA,"PUDJI RAHAYU ,S.Sos",pudjirahayu07@gmail.com,53,,
KEC. GUNUNGANYAR,20560714,TK TRI SUKSES,TK,SWASTA,"Jl. Gunung Anyar Tengah V Dalam C/6, Gunung Anyar, Kec. Gununganyar, Kota Surabaya, Jawa Timur",315044144,031315044144,,,B,28,2,2,1,2,0,1,2,3,,Kurikulum Merdeka,AH1147,AN - NAFI,1,1,MUHAIMIN,,Belum Tersedia,2013,12,2024,PLN,1300,228,530400000,4900000,,"Jl. Kedung Cowek No.331, Tanah Kali Kedinding, Kec. Kenjeran, Kota Surabaya, Jawa Timur",1117200000,-,0,0,1,81216359490,GARTI HANINGSIH,Ellysa Dwi Anggraini,ellysadwi3@gmail.com,28,,
KEC. GUNUNGANYAR,20532859,SD PUTRA INDONESIA,SD,SWASTA,"Jl. Kyai Satari No. 27 Surabaya., Rungkut Menanggal, Kec. Gununganyar, Kota Surabaya, Jawa Timur",315045053,031315045053,,,B,89,6,8,2,6,1,2,8,3,,Kurikulum Merdeka,AB4702,Yayasan Pendidikan Putra Indonesia,2,2,"Gunawan Eko Nurtjahjono, S.Sos, M.Si",AYUDIANA GITA RIZKY,031-5044790,2011,14,2012,PLN,22000,645,8976000000,4900000,,"Jl. Dukuh Pakis Ii / 26, Dukuh Pakis, Kec. Dukuh Pakis, Kota Surabaya, Jawa Timur",3160500000,-,0,0,1,318498623,Fitri Patmawati,Ayudiana Gita Rizky,sd_putraindonesia27@yahoo.co.id,89,-7.338100,112.76610
KEC. KENJERAN,69907147,TK IT TAHFIDZUL QURAN TAUHIDULLAH,TK,SWASTA,"Jl. Kedung Cowek No.331, Tanah Kali Kedinding, Kec. Kenjeran, Kota Surabaya, Jawa Timur",315044146,031315044146,,,B,66,4,3,1,4,0,0,3,5,,Kurikulum Merdeka,AI7268,YAYASAN TAUHIDULLAH,1,1,SUPARMI,Muhammad Al Mahy,-,2015,10,2020,PLN,2200,193,897600000,9390000,,"Jl. Pulo Wonokromo Wetan I , Jagir, Kec. Wonokromo, Kota Surabaya, Jawa Timur",1812270000,-,0,0,1,85775500580,DJAMILATUL ASJIAH,abd rachman,abuzulfaarrusuni@gmail.com,66,,
KEC. DUKUH PAKIS,20558895,TKS TURIANI,TK,SWASTA,"Jl. Dukuh Pakis Ii / 26, Dukuh Pakis, Kec. Dukuh Pakis, Kota Surabaya, Jawa Timur",315044147,031315044147,,,B,36,2,3,1,3,0,1,3,4,,Kurikulum Merdeka,AI7195,YAYASAN PENDIDIKAN TURIANI,1,1,KURNIAWAN,,-,2011,14,2021,PLN,1300,0,530400000,24000000,,"Jl. Wonosari I/18 Surabaya, Pegirian, Kec. Semampir, Kota Surabaya, Jawa Timur",0,-,0,0,1,81332348857,LINDI SENDYATI,LINDI SENDYATI,turiani80@gmail.com,36,,
KEC. WONOKROMO,20562126,TK TUNAS MEKAR,TK,SWASTA,"Jl. Pulo Wonokromo Wetan I , Jagir, Kec. Wonokromo, Kota Surabaya, Jawa Timur",315044148,031315044148,,,B,14,2,2,1,3,0,0,2,3,,Kurikulum Merdeka,AE6719,PENDIDIKAN TUNAS MEKAR,1,1,Ni Nyoman Suartini,,361439597,2013,12,2017,PLN,130,0,53040000,16890000,,"Darmo Permai Utara 36-38, Pradahkali Kendal, Kec. Dukuh Pakis, Kota Surabaya, Jawa Timur",0,-,0,0,1,8883753924,Siti Maimunah,Ma'rufah,ilmanfaizah81@gmail.com,14,,
KEC. SEMAMPIR,20561715,TK TUNAS MEKAR,TK,SWASTA,"Jl. Wonosari I/18 Surabaya, Pegirian, Kec. Semampir, Kota Surabaya, Jawa Timur",315044149,031315044149,,,B,64,2,3,1,2,0,0,3,3,,Kurikulum Merdeka,AK3238,YPS TUNAS HARAPAN  AL-FITRI,1,1,Drs. MOHAMAD HASYIM,ANDRI MARIANE,-,2011,14,2023,PLN,900,0,367200000,6670000,,"Jemur Gayungan I / 43, Gayungan, Kec. Gayungan, Kota Surabaya, Jawa Timur",0,-,0,0,1,82233223963,WIDIYA NURWAITI,LAILATUS SAIDAH,tktunasmekarsemampir1@gmail.com,64,,
KEC. DUKUH PAKIS,20558892,TKS KRISTEN ALFA OMEGA,TK,SWASTA,"Darmo Permai Utara 36-38, Pradahkali Kendal, Kec. Dukuh Pakis, Kota Surabaya, Jawa Timur",315044150,031315044150,,,A,19,2,1,1,2,0,0,1,2,,Kurikulum Merdeka,AI7218,ALFA OMEGA,3,3,"Pdt. M. A. E. Solu-Ke Rihi, Sm.Th",,-,2003,22,2017,PLN,1800,800,734400000,24000000,,"Jl. Raya Kupang Baru 59, Sono Kwijenan, Kec. Sukomanunggal, Kota Surabaya, Jawa Timur",19200000000,-,0,1,1,317344346,EVA AGUSTIN,Eva Agustin,kindergardenaos@gmail.com,92,,
KEC. GAYUNGAN,20561293,TK SISWA BUDHI II,TK,SWASTA,"Jemur Gayungan I / 43, Gayungan, Kec. Gayungan, Kota Surabaya, Jawa Timur",315044151,031315044151,,,B,22,2,1,1,2,0,1,1,2,,Kurikulum Merdeka,AB4675,SISWA BUDI TIM PENGGERAK PKK KELURAHAN GAYUNGAN,3,2,Yuliani,Siti Zulaikha,318289215,2011,14,2022,PLN,450,0,183600000,10420000,,"Jl. W.R.Supratman No.46, Dr. Sutomo, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",0,-,0,0,1,318280062,Anieta Herawati,Anieta Herawati,siswabudi2@gmail.com,18,,
KEC. SUKOMANUNGGAL,20563714,TK JUNIOR ACTIVITIES CENTRE,TK,SWASTA,"Jl. Raya Kupang Baru 59, Sono Kwijenan, Kec. Sukomanunggal, Kota Surabaya, Jawa Timur",315044152,031315044152,,,B,150,10,13,2,14,0,0,13,3,,Kurikulum Merdeka,AO1295,Yayasan Pengembangan Kreativitas,4,3,Andrey Sylvia Kanginan,FRANSISCA ADIANA,317324288,2009,16,2020,PLN,6600,0,2692800000,13750000,,"Wisata Bukit Mas Ii Blok G No :2-7, Lidah Wetan, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",0,-,0,0,1,8175085465,DWI WARDIANASARI,Desy Linawati,tk.junioractivitiescentre@gmail.com,172,,
KEC. TEGAL SARI,69987155,KB KRISTEN PETRA 1,KB,SWASTA,"Jl. W.R.Supratman No.46, Dr. Sutomo, Kec. Tegal Sari, Kota Surabaya, Jawa Timur",315044153,031315044153,,,A,35,2,2,1,2,0,0,2,3,,Kurikulum Merdeka,AL8874,Perhimpunan Pendidikan dan Pengajaran Kristen Petra,25,6,Ir. Ika Iskandar Itamurti,Lewi Hastuti,031-99022000,2017,8,2019,PLN,33000,1250,13464000000,32070000,,"Jl. Dka Tegal Rt 5 / Rw 6, Sawunggaling, Kec. Wonokromo, Kota Surabaya, Jawa Timur",40087500000,http://kb1.pppkpetra.or.id,1,1,1,5622608,Yanita Diah Permata Putri,Zelinda Esperanca,tk1@pppkpetra.sch.id,387,,
KEC. LAKARSANTRI,69763538,KB SURABAYA GRAMMAR SCHOOL,KB,SWASTA,"Wisata Bukit Mas Ii Blok G No :2-7, Lidah Wetan, Kec. Lakarsantri, Kota Surabaya, Jawa Timur",315044154,031315044154,1800000,,A,35,3,4,1,4,0,0,4,5,,Kurikulum Internasional,AX4100,YAYASAN LAI SUHARTONO,10,6,"Andreas Lai, MPA",Dita Savitri Kurniawati,317535656,2009,16,2018,PLN,10000,450,4080000000,12670000,,"Jl. Rungkut Tengah Iii / 33, Rungkut Tengah, Kec. Gununganyar, Kota Surabaya, Jawa Timur",5701500000,http://www.sgsedu.com,1,0,1,317535656,Heti Yustika Setia Rini,Rosdiana Betrisya Saiya,sgs1preschool@gmail.com,83,,
KEC. WONOKROMO,20561893,TK HANA KARTIKA SARI,TK,SWASTA,"Jl. Dka Tegal Rt 5 / Rw 6, Sawunggaling, Kec. Wonokromo, Kota Surabaya, Jawa Timur",315044155,031315044155,,,B,37,3,3,1,2,0,0,3,3,,Kurikulum Merdeka,AO0372,Yayasan Hana Kartika Sari,1,1,WANDHOHA,,Belum Tersedia,2011,14,2021,PLN,900,0,367200000,16890000,,"Jl. Moro Krembangan I/1, Morokrembangan, Kec. Krembangan, Kota Surabaya, Jawa Timur",0,-,0,0,1,-,ATIK WINARTI,Dyan Asih Purwanti,dyanasih@yahoo.com,37,,
KEC. GUNUNGANYAR,69763419,KB SAFINDA,KB,SWASTA,"Jl. Rungkut Tengah Iii / 33, Rungkut Tengah, Kec. Gununganyar, Kota Surabaya, Jawa Timur",315044156,031315044156,,,B,44,3,6,1,3,0,0,6,5,,Kurikulum Merdeka,AI7138,Safinatul Huda,2,2,Drs. Choirul Anam,Nanik Kurniasih,031 8421575,2015,10,2020,PLN,2200,165,897600000,4900000,,"Jl. Ngagel Madya I Surabaya, Baratajaya, Kec. Gubeng, Kota Surabaya, Jawa Timur",808500000,http://safinda.com,1,0,1,318421575,Lilik Latifah,Lilik Latifah,kbit.safinda.sby@gmail.com,44,,
KEC. KREMBANGAN,20532886,SD TUNAS BAHARI SURABAYA,SD,SWASTA,"Jl. Moro Krembangan I/1, Morokrembangan, Kec. Krembangan, Kota Surabaya, Jawa Timur",315044157,031315044157,2865000,,B,150,6,6,4,7,1,1,6,4,,Kurikulum Internasional,AE6981,Yayasan Tunas Bahari Morokrembangan,2,2,DJULAIKAH,MUHAMAD TEGAR,-,1980,45,2024,PLN,1200,340,489600000,9840000,,"Manyar Sambongan 85A, Kertajaya, Kec. Gubeng, Kota Surabaya, Jawa Timur",3345600000,http://www.sdtunasbahari.exp,1,0,1,82301123426,Mayuchah,MUHAMAD TEGAR,sdtunasbahari1@gmail.com,113,-7.230200,112.70800
KEC. GUBENG,20561392,TK KATOLIK SANTA CLARA,TK,SWASTA,"Jl. Ngagel Madya I Surabaya, Baratajaya, Kec. Gubeng, Kota Surabaya, Jawa Timur",315044158,031315044158,,,A,110,6,9,2,3,0,1,8,3,,Kurikulum Merdeka,AB4735,Yayasan Puspita Kencana,4,4,"Sr. Maria Lordes Uran, MC",Putut Pujiaka,315023827,2010,15,2020,PLN,8799,0,3589992000,15630000,,"Jl. Wonorejo Indah Timur No.26, Wonorejo, Kec. Rungkut, Kota Surabaya, Jawa Timur",0,http://www.sanclar.sch.id,1,1,1,315032846,Marselina Siu,TK Katolik Santa Clara,tkksantaclara@gmail.com,324,,
KEC. GUBENG,20561354,TK MARIA MONTESSORI,TK,SWASTA,"Manyar Sambongan 85A, Kertajaya, Kec. Gubeng, Kota Surabaya, Jawa Timur",315044159,031315044159,,,A,25,2,1,1,2,1,0,2,2,,Kurikulum Internasional,AB4761,YAYASAN BIMBINGAN PENINGKATAN PRESTASI SISWA,4,4,"DELTA SAUMA RACHMA, SE",M. Makinun Amin,315018129,2009,16,2019,PLN,1500,1000,612000000,15630000,,"Jl. Jetis Kulon I/64, Wonokromo, Kec. Wonokromo, Kota Surabaya, Jawa Timur",15630000000,-,0,1,1,315018129,SRI YOHANI,ROFIKAH NUR JUM'ATI,tkmariamontessori729@gmail.com,30,,
KEC. RUNGKUT,70005025,TK AISYIYAH 69,TK,SWASTA,"Jl. Wonorejo Indah Timur No.26, Wonorejo, Kec. Rungkut, Kota Surabaya, Jawa Timur",315044160,031315044160,,,B,16,4,4,1,4,0,0,5,5,,Kurikulum Merdeka,AB4930,Pimpinan Daerah Muhammadiyah (PDM) Kota Surabaya,134,8,"Dikky Syadqomullah, M.HES",Danang Ardiyanto,031-5472759,2020,5,2023,PLN,3600,216,1468800000,7760000,,"Pulosari No.5, Sawunggaling, Kec. Wonokromo, Kota Surabaya, Jawa Timur",1676160000,-,0,0,1,82243327135,Lanny Erawaty,lanny erawati,tkaba69surabaya@gmail.com,184,,
KEC. WONOKROMO,20532619,SMP WIDYA DARMA,SMP,SWASTA,"Jl. Jetis Kulon I/64, Wonokromo, Kec. Wonokromo, Kota Surabaya, Jawa Timur",315045294,031315045294,,,B,89,3,8,6,12,2,1,8,6,,Kurikulum Merdeka,AE6724,Yayasan Pendidikan Widya Dharma,1,1,H. Gunawan BA.,KARNOTO,Belum Tersedia,1982,43,2023,PLN,16599,810,6772392000,16890000,,"Jl. Manyar Kartika Timur D, Menur Pumpungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",13680900000,-,0,0,1,318291322,KHABIB AL MASYKUR,FIRSTY LUXFIATI KHARIMAH,smpwidyadarma2022@gmail.com,89,,
KEC. WONOKROMO,69734170,TK CERIA MANDIRI,TK,SWASTA,"Pulosari No.5, Sawunggaling, Kec. Wonokromo, Kota Surabaya, Jawa Timur",315044162,031315044162,,,B,12,2,2,1,2,0,0,2,3,,Kurikulum Merdeka,AH1212,CERIA MANDIRI,1,1,Ruscep Slamet,,002-6627734,2012,13,2015,PLN,1200,0,489600000,16890000,,"Jl. Lebak Indah Regency H 70-72, Gading, Kec. Tambaksari, Kota Surabaya, Jawa Timur",0,-,0,0,1,83831460265,MAWARTI,MAWARTI,tkceriamandiri@gmail.com,12,,
KEC. SUKOLILO,69945042,SD SURABAYA MONTESSORI SCHOOL,SD,SWASTA,"Jl. Manyar Kartika Timur D, Menur Pumpungan, Kec. Sukolilo, Kota Surabaya, Jawa Timur",315965816,031315965816,,,A,91,7,14,1,8,2,1,14,13,,Kurikulum Merdeka,AB4974,Yayasan Sosial Budi Mulia Abadi,3,3,TJOKRO SAPUTRAJAYA,YOSAFAT WALUYO,315965791,2016,9,2020,PLN,53000,0,21624000000,12000000,,"Jl. Sampurna 25 Surabaya, Krembangan Utara, Kec. Pabean Cantian, Kota Surabaya, Jawa Timur",0,http://www.surabayamontessori.sch.id,1,0,1,315965816,Wieda Ikayanti,"YOSAFAT WALUYO, S.Psi",operatorsdmontessori@gmail.com,56,,
KEC. TAMBAKSARI,69903076,TK VICTORY,TK,SWASTA,"Jl. Lebak Indah Regency H 70-72, Gading, Kec. Tambaksari, Kota Surabaya, Jawa Timur",315044164,031315044164,,,A,39,3,2,1,3,0,0,2,3,,Kurikulum Merdeka,AH1220,VICTORY,1,1,Listya Kusuma Dewi,,3151505185,2009,16,2021,PLN,3500,114,1428000000,8570000,,"Jl. Perlis Utara No 30, Perak Timur, Kec. Pabean Cantian, Kota Surabaya, Jawa Timur",976980000,-,0,0,1,89686976471,"DIAN LESTARI, S.Pd",LAURENTIA SUGIANTO,-,39,,
KEC. PABEAN CANTIAN,20561732,TK AISYIYAH 33,TK,SWASTA,"Jl. Sampurna 25 Surabaya, Krembangan Utara, Kec. Pabean Cantian, Kota Surabaya, Jawa Timur",315044165,031315044165,,,B,48,2,1,1,3,0,0,1,2,,Kurikulum Merdeka,AB4930,Pimpinan Daerah Muhammadiyah (PDM) Kota Surabaya,134,8,"Dikky Syadqomullah, M.HES",Danang Ardiyanto,031-5472759,2010,15,2020,PLN,1300,60,530400000,7000000,,"Jl. Girilaya 7 No. 48 Surabaya, Banyu Urip, Kec. Sawahan, Kota Surabaya, Jawa Timur",420000000,-,0,0,1,313522761,YUN WINARNI,YUN WINARNI,tk.aba.33.sampoerna@gmail.com,184,,
KEC. PABEAN CANTIAN,20561758,TK KURNIAWATI,TK,SWASTA,"Jl. Perlis Utara No 30, Perak Timur, Kec. Pabean Cantian, Kota Surabaya, Jawa Timur",315044166,031315044166,,,B,97,4,7,1,4,0,0,7,8,,Kurikulum Merdeka,AB5053,Yayasan Kurnia Jaya,1,1,"Drs. Misbakhun S.Ip, M.Pd",ALI ACHMAD,031-91082644,2010,15,2021,PLN,1300,72,530400000,7000000,,"Jl. Bratang Gede Iii-I / 17, Ngagelrejo, Kec. Wonokromo, Kota Surabaya, Jawa Timur",504000000,-,0,0,1,89652254915,CHOIRRIYAH,TK KURNIAWATI,tkkurniawati30@gmail.com,97,,
KEC. SAWAHAN,20562132,TK SETYA BUDHI,TK,SWASTA,"Jl. Girilaya 7 No. 48 Surabaya, Banyu Urip, Kec. Sawahan, Kota Surabaya, Jawa Timur",315044167,031315044167,,,B,82,4,4,1,4,0,0,5,5,,Kurikulum Merdeka,AE6839,SETYA BUDHI,1,1,"NUR ANAS S.Ag, M.Pd",Ani Ambarwati,-,2015,10,2023,PLN,1300,0,530400000,16040000,,"Anjasmoro 12 Surabaya, Sawahan, Kec. Sawahan, Kota Surabaya, Jawa Timur",0,-,0,0,1,8815004430,Ari Mukti Setijorini,Ani Ambarwati,aniaanambarwati@gmail.com,82,,
KEC. WONOKROMO,69734168,TK ISTANA ANAK,TK,SWASTA,"Jl. Bratang Gede Iii-I / 17, Ngagelrejo, Kec. Wonokromo, Kota Surabaya, Jawa Timur",315044168,031315044168,,,B,47,3,3,1,2,0,0,3,4,,Kurikulum Merdeka,AB4829,PERKUMPULAN LEMBAGA PENDIDIKAN MURTINI,1,1,"Dra. SRI KHOTAMI, MM",ANISA,-,2011,14,2022,PLN,1200,0,489600000,16890000,,"Jl. Darmo Permai Selatan I No. 28, Pradahkali Kendal, Kec. Dukuh Pakis, Kota Surabaya, Jawa Timur",0,-,0,0,1,5045242,ANISA,ANISA,-,47,,
KEC. SAWAHAN,20531838,SD ADVENT,SD,SWASTA,"Anjasmoro 12 Surabaya, Sawahan, Kec. Sawahan, Kota Surabaya, Jawa Timur",315044341,031315044341,,,B,92,6,6,2,6,3,1,6,2,,Kurikulum Merdeka,AE6786,GEREJA MASEHI ADVENT HARI KETUJUH,3,3,MOLLY  SRIYANITI SENTANA S,GERALD WENAS,031-5462984,1987,38,2019,PLN & DIESEL,3000,640,1224000000,16040000,,"Jl. Jangkar No.10 Surabaya., Krembangan Utara, Kec. Pabean Cantian, Kota Surabaya, Jawa Timur",10265600000,http://www.amor.sch.id,1,0,1,315462984,Sri Wahyuning Rejeki,GREINY FELTY MANOPPO,adventsd@yahoo.co.id,66,,
KEC. DUKUH PAKIS,20558898,TK MIMI,TK,SWASTA,"Jl. Darmo Permai Selatan I No. 28, Pradahkali Kendal, Kec. Dukuh Pakis, Kota Surabaya, Jawa Timur",315044170,031315044170,,,A,19,2,2,1,3,0,1,2,3,,Kurikulum Internasional,AI7209,Yayasan Pendidikan MIMI,3,3,Ratna Endang Hartatiek,"Devis Arya Aditya, S.Kom",317314144,2011,14,2018,PLN,1500,964,612000000,24000000,,"Jl. Lebo Agung Ii No.2 , Gading, Kec. Tambaksari, Kota Surabaya, Jawa Timur",23136000000,http://www.mimi-school.sch.id,1,0,1,317314136,Vivi Hidayanti,Kristinawati Tanowinoto,tk@mimi-school.sch.id,46,,
KEC. PABEAN CANTIAN,20531912,SD DAPUAN SWASTA SURABAYA,SD,SWASTA,"Jl. Jangkar No.10 Surabaya., Krembangan Utara, Kec. Pabean Cantian, Kota Surabaya, Jawa Timur",315044565,031315044565,,,B,93,6,8,2,6,0,1,8,8,,Kurikulum Merdeka,AL9009,YAYASAN PENDIDIKAN DAPUAN,1,1,dra. Suntatik,MUHAMMAD IQBAL AL ABROR,Belum Tersedia,2021,4,2023,PLN,2200,196,897600000,7000000,,"Jl. Teluk Nibung Timur Vii No.2 , Perak Utara, Kec. Pabean Cantian, Kota Surabaya, Jawa Timur",1372000000,-,0,0,1,313523960,Mimin Muslimah,Muhammad Iqbal Al Abror,sd.dapuan@yahoo.com,93,-7.230000,112.73630
KEC. TAMBAKSARI,20561122,TK BHAKTI PERTIWI,TK,SWASTA,"Jl. Lebo Agung Ii No.2 , Gading, Kec. Tambaksari, Kota Surabaya, Jawa Timur",315044172,031315044172,,,B,45,2,2,1,2,0,0,2,3,,Kurikulum Merdeka,,,0,0,-,-,-,2013,12,2018,PLN,2200,0,897600000,8570000,,"Jl. Dukuh Kupang Barat Xvii/24, Dukuh Kupang, Kec. Dukuh Pakis, Kota Surabaya, Jawa Timur",0,-,0,0,1,85731495076,YUNI INDAH PURWATI,yuni indah purwanti,tkbhaktipertiwisby@gmail.com,45,,
